,Element Name,Element Type,Database,PosReg Name,PosReg Type,PosReg ID,,NegReg Name,NegReg Type,NegReg ID,,Connection Type,Negative Reg DB,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
401,aml,protein,q6pf39, , , , ,ic87114,simple-chemical,9908783, ,i,"['pubchem', 'pubchem', 'pubchem']","['inhibition', 'inhibition', 'inhibition']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['moreover, ic87114 inhibited aml cell proliferation without affecting the proliferation of normal hematopoietic progenitor cells [xref_bibr].', 'moreover, ic87114 inhibited aml cell proliferation without affecting the proliferation of normal hematopoietic progenitor cells [xref_bibr].', 'moreover, ic87114 inhibited aml cell proliferation without affecting the proliferation of normal hematopoietic progenitor cells [xref_bibr].']",3,0.1,41,1,41.3
1377,cell migration,bioprocess,go:0016477, , , , ,ic486068,protein,uaz07747, ,i,"['uaz', 'uaz', 'uaz']","['activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['ic486068 enhanced radiation induced apoptosis in endothelial cells and reduced cell migration and tubule formation of endothelial cells in matrigel following irradiation [xref_bibr].', 'ic486068 enhanced radiation induced apoptosis in endothelial cells and reduced cell migration and tubule formation of endothelial cells in matrigel following irradiation [xref_bibr].', 'ic486068 enhanced radiation induced apoptosis in endothelial cells and reduced cell migration and tubule formation of endothelial cells in matrigel following irradiation [xref_bibr].']",3,0.1,41,1,41.3
3291,interferon,family,interferon, , , , ,pml,protein,p29590, ,i,"['uniprot', 'uniprot', 'uniprot']","['inhibition', 'inhibition', 'inhibition']","['pmc3213115', 'pmc3213115', 'pmc3213115']","['the size and abundance of pml-nb is interferon inducible xref_bibr, xref_bibr, xref_bibr, and over-expression of the pml protein represses viral infection xref_bibr.', 'the size and abundance of pml-nb is interferon inducible xref_bibr, xref_bibr, xref_bibr, and over-expression of the pml protein represses viral infection xref_bibr.', 'the size and abundance of pml-nb is interferon inducible xref_bibr, xref_bibr, xref_bibr, and over-expression of the pml protein represses viral infection xref_bibr.']",3,0.1,41,1,41.3
4100,notch2 expression, , ,tert,protein,o14746, , , , , ,i,"[' ', ' ', ' ']","['increaseamount', 'regulation', 'increaseamount']","['pmc4669716', 'pmc4669716', 'pmc4669716']","['to investigate whether tert could modulate notch2 expression, we examined 4134/early cells transfected with a retroviral vector containing tert (4134/tert+) or with the control vector (4134/babe); 4134/tert+ cells expressing ectopic tert showed much higher levels of tert transcripts than parental or control 4134/babe cells (xref_fig).', 'these data suggest that nf-Îº b, but not wnt signaling, is involved in the tert mediated activation of notch2 expression.', '46 in this study, we also provide mechanistic insights demonstrating that tert can induce notch2 expression at transcriptional level.']",3,0.1,41,1,41.3
5977,ubiquitin,protein,p0cg47,scf,protein,p21583, , , , , ,i,"[' ', ' ', ' ']","['activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['in addition, an ubiquitin e3 ligase, the scf (skp2) complex, mediates p27 (kip1) ubiquitin dependent proteolysis.', 'in addition, an ubiquitin e3 ligase, the scf (skp2) complex, mediates p27 (kip1) ubiquitin dependent proteolysis.', 'in addition, an ubiquitin e3 ligase, the scf (skp2) complex, mediates p27 (kip1) ubiquitin dependent proteolysis.']",3,0.1,41,1,41.3
5934,tuberin, , ,igf-i,protein,p05019, , , , , ,i,"[' ', ' ', ' ']","['phosphorylation', 'phosphorylation', 'phosphorylation']","['pmc2652403', 'pmc2652403', 'pmc2652403']","['work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].', 'work by another group showed that insulin or igf-i stimulated phosphorylation of tuberin, which was inhibited by the pi3k inhibitor ly294002 [xref_bibr].']",3,0.1,41,1,41.3
4486,phosphofructokinase,family,pf00365,adp,simple-chemical,6022, , , , , ,i,"[' ', ' ']","['activation', 'activation']","['pmc3845836', 'pmc3845836']","['adp is an allosteric activator of phosphofructokinase (pfk) [xref_bibr].', 'adp is an allosteric activator of phosphofructokinase (pfk) [xref_bibr].']",2,0.1,41,1,41.2
1953,differentiation,bioprocess,go:0030154,retinoic acid,simple-chemical,5282379, , , , , ,i,"[' ', ' ']","['activation', 'activation']","['pmc3876434', 'pmc2174231']","['xref_bibr, xref_bibr in leukemic cell lines such as hl60, telomerase activity is commonly downregulated during monocytic or granulocytic differentiation induced by vitamin d3, all-trans retinoic acid, and am80.', 'the negative sp100 phenotype was also retained after differentiation induced by retinoic acid treatment and in ngp neuroblastoma cells (data not shown).']",2,0.1,41,1,41.2
1958,differentiation,bioprocess,go:0030154,tpa,protein,p00750, , , , , ,i,"[' ', ' ']","['activation', 'activation']","['pmc3876434', 'pmc3876434']","['xref_bibr intriguingly, in the k562 cml cell line, megakaryocytic differentiation induced by the tumor promoter tpa is associated with transient upregulation of nuclear telomerase activity and a gradual decrease in telomerase mrna expression; pre-treatment of cells with pkc inhibitors protects against both megakaryocytic differentiation and transient telomerase activation.', 'on the other hand, despite its lifespan extension effect, ectopic expression of tert does not appear to affect tpa induced megakaryocytic differentiation in k562 leukemic cells, because biological phenotypes such as cd41 expression and erk phosphorylation are retained in tert transfected k562 cells.']",2,0.1,41,1,41.2
4570,"phosphorylation, consistent with ras activation and somewhat symmetric activation of downstream pi3k and mapk signaling arms", , , , , , ,nf1,protein,p21359, ,i,"['uniprot', 'uniprot']","['dephosphorylation', 'dephosphorylation']","['pmc4441450', 'pmc4441450']","['grb10 knockdown in nf1 wt and null mefs increased both erk and akt phosphorylation, consistent with ras activation and somewhat symmetric activation of downstream pi3k and mapk signaling arms of the ras pathway cascade.', 'grb10 knockdown in nf1 wt and null mefs increased both erk and akt phosphorylation, consistent with ras activation and somewhat symmetric activation of downstream pi3k and mapk signaling arms of the ras pathway cascade.']",2,0.1,41,1,41.2
4439,pdgfra expression, , ,u0126,simple-chemical,3006531, , , , , ,i,"[' ', ' ']","['increaseamount', 'increaseamount']","['pmc3906156', 'pmc3906156']","['finally, down-regulation of surface pdgfra expression by u0126 is concordant with reduced glioma cell proliferation.', 'our data clearly show that the mek inhibitor u0126 down-regulated surface pdgfra expression within 6 hrs without noticeably changing total pdgfra expression.']",2,0.1,41,1,41.2
2446,expression of e-cadherin, , , , , , ,akt,family,akt, ,i,"['be', 'be']","['inhibition', 'activation']","['pmc2651854', 'pmc2651854']","['this study aimed to investigate whether akt inhibition would restore the expression of e-cadherin and Î²-catenin, reduce that of vimentin, and induce the mert in oscc cells with low or negative expression of e-cadherin.', 'the purpose of our study was to investigate whether akt inhibition by pia treatment would restore the expression of e-cadherin and Î²-catenin, reduce that of vimentin, and induce the mert in oscc cells with low or negative expression of e-cadherin.']",2,0.1,41,1,41.2
1977,dna damage,bioprocess,d004249,atrx,protein,p46100, , , , , ,i,"[' ', ' ']","['activation', 'activation']","['pmc4939920', 'pmc4939920']","['xref_bibr we tested these functional readouts in our ko cell lines and found that atrx ko k562 cells have increased dna damage as compared to control cells as assessed by comet assays and immunoblots for Î³ h2a.x (fig.', 'xref_bibr we tested these functional readouts in our ko cell lines and found that atrx ko k562 cells have increased dna damage as compared to control cells as assessed by comet assays and immunoblots for Î³ h2a.x (fig.']",2,0.1,41,1,41.2
4487,phosphofructokinase,family,pf00365,"fructose-2,6-bisphosphate",protein,uaz04469, , , , , ,i,"[' ', ' ']","['inhibition', 'inhibition']","['pmc3845836', 'pmc3845836']","['phosphofructokinase is also activated by amp and fructose-2,6-bisphosphate and inhibited by phosphoenolpyruvate and citrate [xref_bibr].', 'phosphofructokinase is also activated by amp and fructose-2,6-bisphosphate and inhibited by phosphoenolpyruvate and citrate [xref_bibr].']",2,0.1,41,1,41.2
2448,expression of e-cadherin and Î²-catenin, , , , , , ,akt,family,akt, ,i,"['be', 'be']","['inhibition', 'activation']","['pmc2651854', 'pmc2651854']","['this study aimed to investigate whether akt inhibition would restore the expression of e-cadherin and Î²-catenin, reduce that of vimentin, and induce the mert in oscc cells with low or negative expression of e-cadherin.', 'the purpose of our study was to investigate whether akt inhibition by pia treatment would restore the expression of e-cadherin and Î²-catenin, reduce that of vimentin, and induce the mert in oscc cells with low or negative expression of e-cadherin.']",2,0.1,41,1,41.2
2545,expression of p27 kip1, , , , , , ,akt,family,akt, ,i,"['be', 'be']","['decreaseamount', 'decreaseamount']","['pmc3009957', 'pmc3009957']","['these results indicated that stimulation by trg leads to an activation of pi3k / akt pathway, which in turn down-regulated the expression of p27 kip1 in a cell proliferation independent manner.', 'activation of pi3k / akt pathway has been shown to inhibit the expression of p27 kip1 [xref_bibr] and regulate the localization of p21 cip1 [xref_bibr].']",2,0.1,41,1,41.2
4691,pip,protein,o95861, , , , ,ship,protein,q92835, ,i,"['uniprot', 'uniprot']","['activation', 'inhibition']","['pmc3414724', 'pmc3414724']","['although the action of both ship and pten antagonizes pi3k signaling by consuming pip 3, the ship product pi (3,4) p 2 is itself a second messenger subject to further regulation by inositol 4 â€²-phosphatases (xref_bibr; xref_bibr).', 'it is also possible that ship inhibition leads to chronically elevated pip 3 levels which could trigger activation induced cell death.']",2,0.1,41,1,41.2
2725,foxo,family,foxo, , , , ,egcg,simple-chemical,65064, ,i,"['pubchem', 'pubchem']","['inhibition', 'inhibition']","['pmc2278143', 'pmc2278143']","['therefore, it is possible that egcg inhibits angiogenesis by regulating foxo transcription factors.', 'akt inhibitor, mek1/2 inhibitor (pd98059) and egcg alone induced foxo transcriptional activity.']",2,0.1,41,1,41.2
4569,"phosphorylation, consistent with ras activation and somewhat symmetric activation of downstream pi3k and mapk signaling arms", , , , , , ,grb10,protein,q13322, ,i,"['uniprot', 'uniprot']","['dephosphorylation', 'dephosphorylation']","['pmc4441450', 'pmc4441450']","['grb10 knockdown in nf1 wt and null mefs increased both erk and akt phosphorylation, consistent with ras activation and somewhat symmetric activation of downstream pi3k and mapk signaling arms of the ras pathway cascade.', 'grb10 knockdown in nf1 wt and null mefs increased both erk and akt phosphorylation, consistent with ras activation and somewhat symmetric activation of downstream pi3k and mapk signaling arms of the ras pathway cascade.']",2,0.1,41,1,41.2
2763,foxo3a, , , , , , ,akt,family,akt, ,i,"['be', 'be']","['dephosphorylation', 'dephosphorylation']","['pmc3734838', 'pmc3734838']","['conversely, when we activated akt in crc cells using constitutively activated akt constructs prior to selenite treatment, we found that, consistent with our hypothesis, constitutively activated akt increased phosphorylation of akt and foxo3a and selenite could no longer reduce phosphorylation of akt and consequently phosphorylation of foxo3a (xref_fig).', 'conversely, when we activated akt in crc cells using constitutively activated akt constructs prior to selenite treatment, we found that, consistent with our hypothesis, constitutively activated akt increased phosphorylation of akt and foxo3a and selenite could no longer reduce phosphorylation of akt and consequently phosphorylation of foxo3a (xref_fig).']",2,0.1,41,1,41.2
4743,polr1c,protein,o15160,tp53,protein,p04637, , , , , ,i,"[' ', ' ']","['activation', 'activation']","['pmc4957770', 'pmc4957770']","['furthermore, although tp53 inhibition was sufficient to suppress neuroepithelial cell death and dramatically prevent cranioskeletal anomalies in polr1c -/- and polr1d -/- mutant embryos, this was still insufficient to rescue their long-term viability.', 'tp53 inhibition can suppress neuroepithelial apoptosis and substantially rescue cranioskeletal development in polr1c -/- and polr1d -/- mutant embryos providing a potential avenue for the therapeutic prevention of tcs.']",2,0.1,41,1,41.2
2122,e3,simple-chemical,5756,daxx,protein,q9uer7, , , , , ,i,"[' ', ' ']","['activation', 'activation']","['pmc3566025', 'pmc3566025']","['in addition, daxx directly stimulates mdm2 â€™ s ubiquitin e3 ligase activity towards p53 xref_bibr.', 'the function of mdm2 is critically dependent on daxx, which prevents mdm2 degradation and also enhances e3 activity of mdm2 towards p53.']",2,0.1,41,1,41.2
